---------------------------------------------------------------------------------------------
Output for sample-d.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2948155)
('total number of distinct words=', 57120)
('popular_threshold_word=', 2856.0)
('common_threshold_l_word=', 27132.0)
('common_threshold_u_word=', 29988.0)
('rare_threshold_word=', 54264.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
+----+---------------+---------+
|   1|            the|   158488|
|   2|            and|    95268|
|   3|             of|    93658|
|   4|             to|    75963|
|   5|              a|    61211|
|   6|             in|    50990|
|   7|              i|    46138|
|   8|           that|    37191|
|   9|             he|    30319|
|  10|             it|    29249|
|  11|            you|    27025|
|  12|             is|    26930|
|  13|            his|    26733|
|  14|           with|    24729|
|  15|            was|    24110|
|  16|            for|    23067|
|  17|             be|    22284|
|  18|             as|    21825|
|  19|            not|    21822|
|  20|             my|    20629|
|  21|            but|    18236|
|  22|           this|    16810|
|  23|           have|    15978|
|  24|             me|    14978|
|  25|             on|    14929|
|  26|             by|    14891|
|  27|            her|    14273|
|  28|            him|    14155|
|  29|             at|    14099|
|  30|            all|    13642|
|  31|          which|    13183|
|  32|            had|    12911|
|  33|             or|    12408|
|  34|             so|    12022|
|  35|           from|    11272|
|  36|           will|    11144|
|  37|           they|    11122|
|  38|            are|    10825|
|  39|             we|    10194|
|  40|             no|    10127|
|  41|           your|     9974|
|  42|            she|     9955|
|  43|           what|     9723|
|  44|            one|     9527|
|  45|             if|     9139|
|  46|          would|     8915|
|  47|          their|     8576|
|  48|          there|     8340|
|  49|           were|     8197|
|  50|             an|     8063|
|  51|           when|     7780|
|  52|           them|     7724|
|  53|             do|     7520|
|  54|           more|     7074|
|  55|            now|     6875|
|  56|           then|     6712|
|  57|           said|     6496|
|  58|            who|     6362|
|  59|           thou|     6324|
|  60|            our|     6286|
|  61|            out|     5959|
|  62|           good|     5723|
|  63|           like|     5645|
|  64|           than|     5508|
|  65|            man|     5455|
|  66|           been|     5435|
|  67|            may|     5206|
|  68|          shall|     5163|
|  69|             up|     5115|
|  70|           upon|     5016|
|  71|           some|     5015|
|  72|           well|     4789|
|  73|            any|     4718|
|  74|            thy|     4615|
|  75|           time|     4585|
|  76|          other|     4571|
|  77|            sir|     4490|
|  78|            how|     4473|
|  79|           must|     4418|
|  80|           lord|     4342|
|  81|           such|     4317|
|  82|             us|     4272|
|  83|         should|     4232|
|  84|           into|     4198|
|  85|            did|     4185|
|  86|          could|     4160|
|  87|           come|     4145|
|  88|            has|     4068|
|  89|           here|     4000|
|  90|            see|     3941|
|  91|           very|     3941|
|  92|            can|     3940|
|  93|          these|     3939|
|  94|          first|     3830|
|  95|             am|     3728|
|  96|          great|     3706|
|  97|            say|     3691|
|  98|           thee|     3683|
|  99|           know|     3640|
| 100|           only|     3632|
| 101|           most|     3556|
| 102|            yet|     3529|
| 103|            let|     3480|
| 104|            too|     3456|
| 105|            two|     3442|
| 106|           king|     3437|
| 107|         little|     3432|
| 108|          about|     3426|
| 109|             mr|     3405|
| 110|             go|     3337|
| 111|           make|     3333|
| 112|           much|     3322|
| 113|           love|     3317|
| 114|         before|     3275|
| 115|          never|     3256|
| 116|          where|     3218|
| 117|           made|     3202|
| 118|            old|     3194|
| 119|            own|     3077|
| 120|            its|     3057|
| 121|           life|     3043|
| 122|           down|     2970|
| 123|          those|     2955|
| 124|            men|     2944|
| 125|            day|     2892|
| 126|          after|     2813|
| 127|              o|     2754|
| 128|           over|     2695|
| 129|            way|     2617|
| 130|          enter|     2609|
| 131|          might|     2608|
| 132|          think|     2600|
| 133|          again|     2597|
| 134|           long|     2583|
| 135|          still|     2557|
| 136|           hand|     2541|
| 137|           take|     2528|
| 138|           even|     2503|
| 139|           give|     2461|
| 140|            why|     2381|
| 141|          state|     2325|
| 142|         though|     2323|
| 143|          every|     2302|
| 144|           many|     2302|
| 145|          being|     2275|
| 146|           away|     2234|
| 147|           eyes|     2220|
| 148|           work|     2217|
| 149|        himself|     2154|
| 150|           tell|     2139|
| 151|           ever|     2128|
| 152|           same|     2104|
| 153|        another|     2098|
| 154|            nor|     2088|
| 155|        against|     2088|
| 156|           hath|     2084|
| 157|          house|     2053|
| 158|          night|     2046|
| 159|           true|     2026|
| 160|        without|     2019|
| 161|           look|     2004|
| 162|           head|     1970|
| 163|          under|     1969|
| 164|        nothing|     1968|
| 165|           back|     1959|
| 166|           last|     1948|
| 167|          heart|     1941|
| 168|           came|     1937|
| 169|           both|     1933|
| 170|            off|     1905|
| 171|        thought|     1905|
| 172|        through|     1896|
| 173|         father|     1878|
| 174|          world|     1875|
| 175|           just|     1824|
| 176|          place|     1819|
| 177|            new|     1772|
| 178|          three|     1754|
| 179|           part|     1741|
| 180|         people|     1734|
| 181|         cannot|     1724|
| 182|          right|     1705|
| 183|           name|     1690|
| 184|           once|     1685|
| 185|          while|     1684|
| 186|          speak|     1672|
| 187|            far|     1668|
| 188|          years|     1635|
| 189|           face|     1626|
| 190|          power|     1614|
| 191|            put|     1607|
| 192|         better|     1607|
| 193|          death|     1606|
| 194|           mind|     1593|
| 195|         things|     1573|
| 196|           done|     1553|
| 197|            god|     1549|
| 198|           mine|     1539|
| 199|           hear|     1527|
| 200|          young|     1493|
| 201|        between|     1486|
| 202|     government|     1481|
| 203|          thing|     1477|
| 204|      gutenberg|     1468|
| 205|        project|     1434|
| 206|           poor|     1433|
| 207|           went|     1432|
| 208|            art|     1425|
| 209|            get|     1414|
| 210|        because|     1412|
| 211|          found|     1399|
| 212|          queen|     1388|
| 213|           thus|     1387|
| 214|           full|     1384|
| 215|           lady|     1374|
| 216|           each|     1367|
| 217|           whom|     1363|
| 218|           best|     1351|
| 219|         second|     1348|
| 220|            yes|     1341|
| 221|          whose|     1330|
| 222|         master|     1316|
| 223|            set|     1301|
| 224|          hands|     1296|
| 225|           john|     1279|
| 226|         always|     1278|
| 227|            saw|     1276|
| 228|           duke|     1274|
| 229|            end|     1273|
| 230|           find|     1272|
| 231|         states|     1271|
| 232|           left|     1264|
| 233|         myself|     1248|
| 234|          words|     1246|
| 235|          heard|     1245|
| 236|           side|     1240|
| 237|          woman|     1238|
| 238|      therefore|     1236|
| 239|           home|     1232|
| 240|         nature|     1232|
| 241|           till|     1227|
| 242|         within|     1222|
| 243|           seen|     1220|
| 244|         enough|     1218|
| 245|           also|     1217|
| 246|          scene|     1213|
| 247|           told|     1210|
| 248|         rather|     1190|
| 249|           word|     1182|
| 250|           fair|     1165|
