---------------------------------------------------------------------------------------------
Output for s3a://batch-processing-bucket/large-text-file-1.txt
---------------------------------------------------------------------------------------------
('total number of words=', 20180402)
('total number of distinct words=', 61593)
('popular_threshold_word=', 3080.0)
('common_threshold_l_word=', 29256.0)
('common_threshold_u_word=', 32337.0)
('rare_threshold_word=', 58513.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
+----+---------------+---------+
|   1|            the|   975597|
|   2|            and|   666669|
|   3|             of|   586789|
|   4|             to|   535358|
|   5|              a|   398148|
|   6|              i|   358112|
|   7|             in|   327784|
|   8|           that|   264260|
|   9|             it|   210708|
|  10|             he|   209028|
|  11|            you|   207336|
|  12|            his|   184564|
|  13|             is|   182172|
|  14|           with|   174061|
|  15|            for|   169420|
|  16|             my|   166292|
|  17|            not|   163236|
|  18|            was|   158032|
|  19|             be|   157432|
|  20|             as|   156188|
|  21|            but|   127200|
|  22|            her|   121988|
|  23|             me|   120948|
|  24|           this|   119305|
|  25|           have|   117780|
|  26|            him|   110704|
|  27|             on|   100908|
|  28|             by|    99624|
|  29|             at|    96412|
|  30|            all|    95176|
|  31|             so|    92180|
|  32|            had|    91772|
|  33|            she|    83680|
|  34|             or|    82248|
|  35|          which|    81320|
|  36|           your|    80604|
|  37|           will|    79432|
|  38|           from|    74996|
|  39|           they|    74816|
|  40|           what|    73600|
|  41|             no|    72356|
|  42|            are|    71956|
|  43|             if|    68764|
|  44|             we|    66376|
|  45|          would|    61180|
|  46|            one|    61120|
|  47|             do|    57400|
|  48|          there|    54932|
|  49|           were|    54800|
|  50|           them|    54264|
|  51|          their|    53824|
|  52|           when|    53728|
|  53|           thou|    53608|
|  54|             an|    51060|
|  55|           said|    49832|
|  56|           more|    49692|
|  57|            now|    48068|
|  58|            who|    45372|
|  59|           then|    44660|
|  60|            our|    43122|
|  61|           good|    42544|
|  62|          shall|    40832|
|  63|            out|    40784|
|  64|           than|    39648|
|  65|            thy|    38116|
|  66|           been|    37744|
|  67|           like|    36604|
|  68|            man|    36568|
|  69|            may|    35988|
|  70|           well|    35868|
|  71|         should|    34944|
|  72|             up|    34520|
|  73|           some|    34392|
|  74|           upon|    34244|
|  75|            how|    33959|
|  76|            any|    33788|
|  77|           come|    33640|
|  78|           such|    32520|
|  79|           must|    32112|
|  80|          could|    31608|
|  81|            sir|    31516|
|  82|           thee|    31380|
|  83|             am|    31324|
|  84|            did|    31216|
|  85|           very|    31088|
|  86|           lord|    30832|
|  87|           time|    30800|
|  88|             us|    29812|
|  89|           here|    29744|
|  90|            say|    29384|
|  91|           know|    29212|
|  92|            see|    29168|
|  93|          other|    28780|
|  94|            can|    27472|
|  95|            let|    27048|
|  96|           into|    26976|
|  97|           king|    26740|
|  98|            has|    26676|
|  99|           love|    26096|
| 100|          these|    26052|
| 101|             go|    25832|
| 102|           make|    25677|
| 103|          first|    25268|
| 104|          great|    24724|
| 105|           much|    24632|
| 106|            too|    23628|
| 107|          never|    23620|
| 108|            yet|    23572|
| 109|           most|    23240|
| 110|         before|    23200|
| 111|          where|    22968|
| 112|             mr|    22940|
| 113|           made|    22884|
| 114|          about|    22622|
| 115|            two|    22300|
| 116|           only|    22132|
| 117|         little|    22024|
| 118|            own|    21836|
| 119|              o|    21044|
| 120|          enter|    20748|
| 121|           give|    20132|
| 122|            day|    19636|
| 123|           take|    19620|
| 124|          think|    19416|
| 125|           down|    19288|
| 126|           life|    19220|
| 127|          those|    18988|
| 128|            old|    18712|
| 129|          again|    18320|
| 130|          being|    18316|
| 131|          after|    18264|
| 132|          might|    18224|
| 133|            way|    18192|
| 134|            men|    17640|
| 135|           hand|    17508|
| 136|         though|    17428|
| 137|            why|    17312|
| 138|           tell|    16928|
| 139|           over|    16844|
| 140|        himself|    16740|
| 141|           hath|    16676|
| 142|            its|    16528|
| 143|          every|    16484|
| 144|           even|    16356|
| 145|           away|    16192|
| 146|           long|    16072|
| 147|          still|    16016|
| 148|        without|    15828|
| 149|            nor|    15632|
| 150|           eyes|    15416|
| 151|           many|    15232|
| 152|          heart|    15124|
| 153|        nothing|    15056|
| 154|           ever|    14884|
| 155|          house|    14456|
| 156|           look|    14392|
| 157|          night|    14240|
| 158|        another|    13864|
| 159|           came|    13828|
| 160|           same|    13580|
| 161|         father|    13560|
| 162|            off|    13352|
| 163|           true|    13332|
| 164|           head|    13280|
| 165|          speak|    13160|
| 166|            don|    13132|
| 167|        against|    13100|
| 168|           both|    13088|
| 169|        thought|    13080|
| 170|          world|    13060|
| 171|           mine|    12876|
| 172|           work|    12848|
| 173|         cannot|    12800|
| 174|           back|    12636|
| 175|          place|    12484|
| 176|           done|    12412|
| 177|           lady|    12288|
| 178|           last|    12116|
| 179|           name|    12064|
| 180|            god|    11968|
| 181|         better|    11892|
| 182|           once|    11864|
| 183|          under|    11864|
| 184|          state|    11836|
| 185|          while|    11736|
| 186|            put|    11728|
| 187|         master|    11724|
| 188|           part|    11648|
| 189|           hear|    11609|
| 190|          death|    11484|
| 191|          thing|    11412|
| 192|        through|    11396|
| 193|         myself|    11124|
| 194|          three|    11120|
| 195|           mind|    11068|
| 196|            art|    10872|
| 197|          young|    10828|
| 198|          right|    10716|
| 199|           face|    10700|
| 200|           just|    10544|
| 201|            mrs|    10420|
| 202|           duke|    10388|
| 203|           poor|    10372|
